,TIME,ID,TYPE,VALUE,PARAM
3293,1739531418.531061,#loeric_3#,receive,42,intensity
3294,1739531418.531061,#loeric_3#,send,54,intensity
3295,1739531418.531061,#loeric_3#,send,82,human_impact
3296,1739531418.5851762,#loeric_4#,receive,84,intensity
3297,1739531418.5851762,#loeric_4#,send,81,intensity
3298,1739531418.5851762,#loeric_4#,send,63,human_impact
3299,1739531418.6373982,#1739530945#,receive,37,intensity
3300,1739531418.8995688,#1739530945#,receive,32,intensity
3301,1739531418.9514248,#loeric_2#,receive,48,intensity
3302,1739531418.9514248,#loeric_2#,send,48,intensity
3303,1739531418.9514248,#loeric_2#,send,82,human_impact
3304,1739531419.1927395,#1739530945#,receive,26,intensity
3305,1739531419.2912638,#loeric_2#,receive,59,intensity
3306,1739531419.2912638,#loeric_2#,send,47,intensity
3307,1739531419.2912638,#loeric_2#,send,82,human_impact
3308,1739531419.4774225,#1739530945#,receive,21,intensity
3309,1739531419.6159859,#1739530945#,receive,22,intensity
3310,1739531419.678034,#1739530945#,receive,23,intensity
3311,1739531419.8182015,#loeric_3#,receive,62,intensity
3312,1739531419.8182015,#loeric_3#,send,50,intensity
3313,1739531419.8182015,#loeric_3#,send,82,human_impact
3314,1739531419.8964171,#1739530945#,receive,28,intensity
3315,1739531420.0708208,#1739530945#,receive,30,intensity
3316,1739531420.203792,#loeric_1#,receive,36,intensity
3317,1739531420.203792,#loeric_1#,send,15,intensity
3318,1739531420.203792,#loeric_1#,send,101,human_impact
3319,1739531420.3856747,#1739530945#,receive,33,intensity
3320,1739531420.5036068,#1739530945#,receive,38,intensity
3321,1739531420.6033714,#loeric_3#,receive,60,intensity
3322,1739531420.6033714,#loeric_3#,send,54,intensity
3323,1739531420.6033714,#loeric_3#,send,82,human_impact
3324,1739531420.6864085,#1739530945#,receive,39,intensity
3325,1739531420.7839077,#1739530945#,receive,37,intensity
3326,1739531421.0600863,#loeric_2#,receive,46,intensity
3327,1739531421.0600863,#loeric_2#,send,54,intensity
3328,1739531421.0600863,#loeric_2#,send,82,human_impact
3329,1739531421.303315,#1739530945#,receive,44,intensity
3330,1739531421.549193,#loeric_3#,receive,62,intensity
3331,1739531421.549193,#loeric_3#,send,52,intensity
3332,1739531421.549193,#loeric_3#,send,82,human_impact
3333,1739531421.6851633,#1739530945#,receive,48,intensity
3334,1739531421.8356607,#1739530945#,receive,51,intensity
3335,1739531421.9288516,#1739530945#,receive,70,intensity
3336,1739531422.0060377,#1739530945#,receive,79,intensity
3337,1739531422.3997047,#1739530945#,receive,79,intensity
3338,1739531422.4820604,#1739530945#,receive,99,intensity
3339,1739531422.6122737,#1739530945#,receive,103,intensity
3340,1739531422.882727,#1739530945#,receive,102,intensity
3341,1739531423.0340998,#1739530945#,receive,92,intensity
3342,1739531423.2219415,#loeric_4#,receive,77,intensity
3343,1739531423.2219415,#loeric_4#,send,127,intensity
3344,1739531423.2219415,#loeric_4#,send,63,human_impact
3345,1739531423.4638796,#loeric_1#,receive,46,intensity
3346,1739531423.4638796,#loeric_1#,send,23,intensity
3347,1739531423.4638796,#loeric_1#,send,101,human_impact
3348,1739531423.5114102,#1739530945#,receive,100,intensity
3349,1739531423.68142,#1739530945#,receive,101,intensity
3350,1739531423.7334323,#loeric_3#,receive,81,intensity
3351,1739531423.7334323,#loeric_3#,send,67,intensity
3352,1739531423.7334323,#loeric_3#,send,82,human_impact
3353,1739531423.886394,#1739530945#,receive,104,intensity
3354,1739531423.9956975,#1739530945#,receive,102,intensity
3355,1739531424.0789957,#1739530945#,receive,104,intensity
3356,1739531424.3037958,#loeric_4#,receive,97,intensity
3357,1739531424.3037958,#loeric_4#,send,127,intensity
3358,1739531424.3037958,#loeric_4#,send,63,human_impact
3359,1739531424.587458,#1739530945#,receive,80,intensity
3360,1739531424.7099698,#1739530945#,receive,77,intensity
3361,1739531425.2816877,#1739530945#,receive,78,intensity
3362,1739531425.349927,#loeric_4#,receive,63,human_impact
3363,1739531425.349927,#loeric_4#,send,121,intensity
3364,1739531425.349927,#loeric_4#,send,63,human_impact
3365,1739531425.5198681,#1739530945#,receive,82,intensity
3366,1739531425.6743498,#1739530945#,receive,81,intensity
3367,1739531425.7273912,#1739530945#,receive,77,intensity
3368,1739531425.8609533,#1739530945#,receive,72,intensity
3369,1739531425.9129303,#1739530945#,receive,71,intensity
3370,1739531426.0162013,#1739530945#,receive,66,intensity
3371,1739531426.1260498,#1739530945#,receive,60,intensity
3372,1739531426.2282586,#1739530945#,receive,56,intensity
3373,1739531426.346483,#1739530945#,receive,58,intensity
3374,1739531426.4184322,#1739530945#,receive,61,intensity
3375,1739531426.5377681,#1739530945#,receive,64,intensity
3376,1739531426.6513758,#1739530945#,receive,73,intensity
3377,1739531426.819609,#1739530945#,receive,97,intensity
3378,1739531426.9991355,#1739530945#,receive,98,intensity
3379,1739531427.0904012,#loeric_1#,receive,45,intensity
3380,1739531427.0904012,#loeric_1#,send,80,intensity
3381,1739531427.0904012,#loeric_1#,send,82,human_impact
3382,1739531427.2095525,#1739530945#,receive,93,intensity
3383,1739531427.2255242,#loeric_4#,receive,91,intensity
3384,1739531427.2255242,#loeric_4#,send,127,intensity
3385,1739531427.2255242,#loeric_4#,send,63,human_impact
3386,1739531427.4665864,#1739530945#,receive,88,intensity
3387,1739531427.7572331,#1739530945#,receive,79,intensity
3388,1739531427.8449771,#1739530945#,receive,78,intensity
3389,1739531427.969661,#1739530945#,receive,79,intensity
3390,1739531428.1757588,#1739530945#,receive,81,intensity
3391,1739531428.3209512,#1739530945#,receive,82,intensity
3392,1739531428.5866654,#1739530945#,receive,84,intensity
3393,1739531428.6642892,#1739530945#,receive,81,intensity
3394,1739531428.772553,#1739530945#,receive,83,intensity
3395,1739531428.88226,#1739530945#,receive,81,intensity
3396,1739531429.034867,#loeric_4#,receive,121,intensity
3397,1739531429.034867,#loeric_4#,send,121,intensity
3398,1739531429.034867,#loeric_4#,send,63,human_impact
3399,1739531429.0905478,#1739530945#,receive,77,intensity
3400,1739531429.169017,#1739530945#,receive,75,intensity
3401,1739531429.2763968,#1739530945#,receive,73,intensity
3402,1739531429.3885255,#1739530945#,receive,82,intensity
3403,1739531429.497789,#1739530945#,receive,88,intensity
3404,1739531429.651301,#loeric_2#,receive,61,intensity
3405,1739531429.651301,#loeric_2#,send,83,intensity
3406,1739531429.651301,#loeric_2#,send,82,human_impact
3407,1739531429.6893473,#1739530945#,receive,92,intensity
3408,1739531429.7723079,#1739530945#,receive,87,intensity
3409,1739531430.1488533,#1739530945#,receive,84,intensity
3410,1739531430.2515674,#loeric_1#,receive,71,intensity
3411,1739531430.2515674,#loeric_1#,send,86,intensity
3412,1739531430.2515674,#loeric_1#,send,82,human_impact
3413,1739531430.355585,#1739530945#,receive,73,intensity
3414,1739531430.4486334,#1739530945#,receive,63,intensity
3415,1739531430.615697,#1739530945#,receive,54,intensity
3416,1739531430.7287934,#1739530945#,receive,39,intensity
3417,1739531431.05499,#loeric_1#,receive,71,intensity
3418,1739531431.05499,#loeric_1#,send,75,intensity
3419,1739531431.05499,#loeric_1#,send,82,human_impact
3420,1739531431.1432772,#1739530945#,receive,28,intensity
3421,1739531431.2192278,#1739530945#,receive,27,intensity
3422,1739531431.392865,#1739530945#,receive,31,intensity
3423,1739531431.480647,#1739530945#,receive,36,intensity
3424,1739531431.598392,#loeric_3#,receive,53,intensity
3425,1739531431.598392,#loeric_3#,send,72,intensity
3426,1739531431.598392,#loeric_3#,send,82,human_impact
3427,1739531431.672948,#1739530945#,receive,38,intensity
3428,1739531431.7092638,#loeric_1#,receive,74,intensity
3429,1739531431.7092638,#loeric_1#,send,68,intensity
3430,1739531431.7092638,#loeric_1#,send,82,human_impact
3431,1739531431.7453825,#loeric_3#,receive,72,intensity
3432,1739531431.7453825,#loeric_3#,send,73,intensity
3433,1739531431.7453825,#loeric_3#,send,82,human_impact
3434,1739531431.9326606,#1739530945#,receive,54,intensity
3435,1739531432.0456254,#loeric_1#,receive,65,intensity
3436,1739531432.0456254,#loeric_1#,send,77,intensity
3437,1739531432.0456254,#loeric_1#,send,82,human_impact
3438,1739531432.3177724,#1739530945#,receive,81,intensity
3439,1739531432.3979836,#loeric_3#,receive,62,intensity
3440,1739531432.3979836,#loeric_3#,send,82,intensity
3441,1739531432.3979836,#loeric_3#,send,82,human_impact
3442,1739531432.4409049,#1739530945#,receive,82,intensity
3443,1739531432.517389,#1739530945#,receive,84,intensity
3444,1739531432.5794342,#loeric_4#,receive,88,intensity
3445,1739531432.5794342,#loeric_4#,send,126,intensity
3446,1739531432.5794342,#loeric_4#,send,63,human_impact
3447,1739531432.616985,#1739530945#,receive,89,intensity
3448,1739531432.734618,#loeric_4#,receive,71,intensity
3449,1739531432.734618,#loeric_4#,send,127,intensity
3450,1739531432.734618,#loeric_4#,send,63,human_impact
3451,1739531432.8126252,#1739530945#,receive,93,intensity
3452,1739531432.9124944,#loeric_1#,receive,61,intensity
3453,1739531432.9124944,#loeric_1#,send,71,intensity
3454,1739531432.9124944,#loeric_1#,send,82,human_impact
3455,1739531432.9501948,#loeric_4#,receive,81,intensity
3456,1739531432.9501948,#loeric_4#,send,127,intensity
3457,1739531432.9501948,#loeric_4#,send,63,human_impact
3458,1739531433.1303024,#1739530945#,receive,84,intensity
3459,1739531433.4674678,#1739530945#,receive,87,intensity
3460,1739531433.953167,#1739530945#,receive,96,intensity
3461,1739531434.1323087,#1739530945#,receive,97,intensity
3462,1739531434.374135,#1739530945#,receive,96,intensity
3463,1739531434.4611704,#1739530945#,receive,92,intensity
3464,1739531434.6191587,#1739530945#,receive,87,intensity
3465,1739531434.7116466,#1739530945#,receive,81,intensity
3466,1739531434.8242276,#1739530945#,receive,78,intensity
3467,1739531434.8693125,#loeric_3#,receive,75,intensity
3468,1739531434.8693125,#loeric_3#,send,70,intensity
3469,1739531434.8693125,#loeric_3#,send,82,human_impact
3470,1739531434.9664981,#1739530945#,receive,70,intensity
3471,1739531435.1041727,#1739530945#,receive,63,intensity
3472,1739531435.3241565,#1739530945#,receive,55,intensity
3473,1739531435.4117417,#1739530945#,receive,51,intensity
3474,1739531435.4687223,#loeric_4#,receive,88,intensity
3475,1739531435.4687223,#loeric_4#,send,112,intensity
3476,1739531435.4687223,#loeric_4#,send,63,human_impact
3477,1739531435.5166624,#loeric_3#,receive,67,intensity
3478,1739531435.5166624,#loeric_3#,send,65,intensity
3479,1739531435.5166624,#loeric_3#,send,82,human_impact
3480,1739531435.5891473,#1739530945#,receive,49,intensity
3481,1739531435.6867104,#1739530945#,receive,50,intensity
3482,1739531435.8158815,#1739530945#,receive,51,intensity
3483,1739531435.9490995,#1739530945#,receive,53,intensity
3484,1739531435.9861565,#1739530945#,receive,55,intensity
3485,1739531436.0862296,#1739530945#,receive,54,intensity
3486,1739531436.395458,#loeric_1#,receive,77,intensity
3487,1739531436.395458,#loeric_1#,send,67,intensity
3488,1739531436.395458,#loeric_1#,send,82,human_impact
3489,1739531436.546086,#1739530945#,receive,59,intensity
3490,1739531436.7764091,#1739530945#,receive,68,intensity
3491,1739531436.9831605,#1739530945#,receive,67,intensity
3492,1739531437.2194343,#loeric_4#,receive,101,intensity
3493,1739531437.2194343,#loeric_4#,send,115,intensity
3494,1739531437.2194343,#loeric_4#,send,63,human_impact
3495,1739531437.2468297,#1739530945#,receive,68,intensity
3496,1739531437.6492975,#1739530945#,receive,67,intensity
3497,1739531437.8035774,#loeric_2#,receive,79,intensity
3498,1739531437.8035774,#loeric_2#,send,78,intensity
3499,1739531437.8035774,#loeric_2#,send,82,human_impact
3500,1739531437.8544667,#loeric_1#,receive,70,intensity
3501,1739531437.8544667,#loeric_1#,send,78,intensity
3502,1739531437.8544667,#loeric_1#,send,82,human_impact
3503,1739531437.876338,#1739530945#,receive,51,intensity
3504,1739531437.957965,#1739530945#,receive,50,intensity
3505,1739531438.064116,#1739530945#,receive,49,intensity
3506,1739531438.228941,#loeric_1#,receive,70,intensity
3507,1739531438.228941,#loeric_1#,send,74,intensity
3508,1739531438.228941,#loeric_1#,send,82,human_impact
3509,1739531438.2786818,#1739530945#,receive,46,intensity
3510,1739531438.3926919,#1739530945#,receive,43,intensity
3511,1739531438.7638602,#loeric_1#,receive,67,intensity
3512,1739531438.7638602,#loeric_1#,send,72,intensity
3513,1739531438.7638602,#loeric_1#,send,82,human_impact
3514,1739531438.7721603,#1739530945#,receive,41,intensity
3515,1739531439.1553283,#1739530945#,receive,37,intensity
3516,1739531439.3973567,#1739530945#,receive,39,intensity
3517,1739531439.5957048,#1739530945#,receive,38,intensity
3518,1739531439.699112,#1739530945#,receive,37,intensity
3519,1739531439.972884,#1739530945#,receive,38,intensity
3520,1739531440.2440398,#1739530945#,receive,40,intensity
3521,1739531440.4656708,#1739530945#,receive,39,intensity
3522,1739531440.5985658,#1739530945#,receive,42,intensity
3523,1739531440.6807823,#1739530945#,receive,45,intensity
3524,1739531440.8279982,#1739530945#,receive,47,intensity
3525,1739531440.9470618,#1739530945#,receive,48,intensity
3526,1739531441.0251496,#1739530945#,receive,47,intensity
3527,1739531441.4996557,#loeric_3#,receive,78,intensity
3528,1739531441.4996557,#loeric_3#,send,127,intensity
3529,1739531441.4996557,#loeric_3#,send,63,human_impact
3530,1739531441.620455,#1739530945#,receive,64,intensity
3531,1739531441.7904887,#1739530945#,receive,75,intensity
3532,1739531441.9656081,#1739530945#,receive,76,intensity
3533,1739531442.3367767,#loeric_4#,receive,87,intensity
3534,1739531442.3367767,#loeric_4#,send,118,intensity
3535,1739531442.3367767,#loeric_4#,send,63,human_impact
3536,1739531442.405692,#1739530945#,receive,81,intensity
3537,1739531442.450089,#1739530945#,receive,82,intensity
3538,1739531442.4619503,#loeric_3#,receive,98,intensity
3539,1739531442.4619503,#loeric_3#,send,127,intensity
3540,1739531442.4619503,#loeric_3#,send,63,human_impact
3541,1739531442.622846,#1739530945#,receive,90,intensity
3542,1739531442.7260337,#1739530945#,receive,96,intensity
3543,1739531442.8954995,#1739530945#,receive,97,intensity
3544,1739531443.296624,#loeric_2#,receive,63,intensity
3545,1739531443.296624,#loeric_2#,send,87,intensity
3546,1739531443.296624,#loeric_2#,send,82,human_impact
3547,1739531443.4506,#1739530945#,receive,122,intensity
3548,1739531443.5383184,#loeric_4#,receive,78,intensity
3549,1739531443.5383184,#loeric_4#,send,127,intensity
3550,1739531443.5383184,#loeric_4#,send,63,human_impact
3551,1739531443.6842442,#loeric_4#,receive,99,intensity
3552,1739531443.6842442,#loeric_4#,send,127,intensity
3553,1739531443.6842442,#loeric_4#,send,63,human_impact
3554,1739531443.7282588,#1739530945#,receive,104,intensity
3555,1739531443.7441897,#loeric_1#,receive,77,intensity
3556,1739531443.7441897,#loeric_1#,send,91,intensity
3557,1739531443.7441897,#loeric_1#,send,82,human_impact
3558,1739531443.985097,#1739530945#,receive,108,intensity
3559,1739531444.016414,#1739530945#,receive,127,intensity
3560,1739531444.3550928,#loeric_3#,receive,82,intensity
3561,1739531444.3550928,#loeric_3#,send,127,intensity
3562,1739531444.3550928,#loeric_3#,send,63,human_impact
3563,1739531444.8255453,#1739530945#,receive,114,intensity
3564,1739531444.9247549,#1739530945#,receive,98,intensity
3565,1739531445.1194715,#1739530945#,receive,84,intensity
3566,1739531445.2613475,#1739530945#,receive,66,intensity
3567,1739531445.410399,#loeric_2#,receive,70,intensity
3568,1739531445.410399,#loeric_2#,send,81,intensity
3569,1739531445.410399,#loeric_2#,send,82,human_impact
3570,1739531445.438001,#1739530945#,receive,62,intensity
3571,1739531445.658658,#1739530945#,receive,58,intensity
3572,1739531445.7252393,#1739530945#,receive,55,intensity
3573,1739531445.7463553,#loeric_2#,receive,75,intensity
3574,1739531445.7463553,#loeric_2#,send,78,intensity
3575,1739531445.7463553,#loeric_2#,send,82,human_impact
3576,1739531445.8358288,#1739530945#,receive,51,intensity
